budget,id,original_language,popularity,revenue,runtime,status,title,vote_average,vote_count,genre,release_date,production_country
180000000,102651,en,110.620647,758539785,97,Released,Maleficent,7,4496,Science fiction,2014-05-28,united_state
170000000,119450,en,243.791743,710644566,130,Released,Dawn of the Planet of the Apes,7.3,4410,Science fiction,2014-06-26,united_state
27000000,79698,en,2.418535,0,109,Released,The Lovers,4.8,34,Action,2015-02-13, australia
175000000,64686,en,41.796339,150962475,119,Released,47 Ronin,5.9,1326,Comedy,2013-12-06,united_state
170000000,100402,en,72.225265,714766572,136,Released,Captain America: The Winter Soldier,7.6,5764,Action,2014-03-20,united_state
165000000,10192,en,44.041186,752600867,93,Released,Shrek Forever After,6,1959,Comedy,2010-05-16,united_state
190000000,158852,en,130.311355,209154322,130,Released,Tomorrowland,6.2,2846,Advanture,2015-05-19,united_state
165000000,177572,en,203.73459,652105443,102,Released,Big Hero 6,7.8,6135,Advanture,2014-10-24,united_state
165000000,82690,en,62.341073,471222889,108,Released,Wreck-It Ralph,7.1,4570,others,2012-11-01,united_state
165000000,5255,en,47.323228,305875730,100,Released,The Polar Express,6.4,1474,Advanture,2004-11-10,united_state
165000000,47933,en,48.775723,389681935,120,Released,Independence Day: Resurgence,4.9,2491,Action,2016-06-22,united_state
165000000,10191,en,67.263269,494878759,98,Released,How to Train Your Dragon,7.5,4227,Science fiction,2010-03-05,united_state
200000000,296,en,69.405188,435000000,109,Released,Terminator 3: Rise of the Machines,5.9,2143,Action,2003-07-02,germany
170000000,118340,en,481.098624,773328629,121,Released,Guardians of the Galaxy,7.9,9742,Action,2014-07-30,united_kingdom
165000000,157336,en,724.247784,675120017,169,Released,Interstellar,8.1,10867,Advanture,2014-11-05,canada
160000000,27205,en,167.58371,825532764,148,Released,Inception,8.1,13752,Action,2010-07-14,united_kingdom
15000000,315011,ja,9.476999,77000000,120,Released,Shin Godzilla,6.5,143,Action,2016-07-29,japan
250000000,49051,en,108.849621,1021103568,169,Released,The Hobbit: An Unexpected Journey,7,8297,Advanture,2012-11-26,new_zealand
38000000,9799,en,6.909942,207283925,106,Released,The Fast and the Furious,6.6,3428,Action,2001-06-22,germany
150000000,4922,en,60.269279,333932083,166,Released,The Curious Case of Benjamin Button,7.3,3292,Science fiction,2008-11-24,united_state
160000000,49538,en,3.195174,353624124,132,Released,X-Men: First Class,7.1,5181,Action,2011-05-24,united_state
160000000,131634,en,127.284427,653428261,137,Released,The Hunger Games: Mockingjay - Part 2,6.6,3984,Action,2015-11-18,germany
150000000,27022,en,35.580815,215283742,109,Released,The Sorcerer's Apprentice,5.8,1470,Science fiction,2010-07-13,united_state
160000000,503,en,21.133748,181674817,99,Released,Poseidon,5.5,583,Advanture,2006-05-12,united_state
170000000,241259,en,56.268916,299370084,113,Released,Alice Through the Looking Glass,6.5,1725,Science fiction,2016-05-25,united_kingdom
160000000,810,en,42.986467,798958165,93,Released,Shrek the Third,6,2278,Science fiction,2007-05-17,united_state
160000000,68735,en,63.148529,433677183,123,Released,Warcraft,6.3,2268,Action,2016-05-25,canada
155000000,87101,en,202.042635,440603537,126,Released,Terminator Genisys,5.8,3631,Science fiction,2015-06-23,united_state
155000000,10140,en,49.661984,415686217,113,Released,The Chronicles of Narnia: The Voyage of the Dawn Treader,6.2,1514,Advanture,2010-08-13,united_state
140000000,676,en,34.20669,449220945,183,Released,Pearl Harbor,6.6,1791,others,2001-05-21,united_state
150000000,1858,en,25.468493,709709780,144,Released,Transformers,6.6,4040,Advanture,2007-06-27,united_state
155000000,1966,en,39.019229,167298192,175,Released,Alexander,5.6,927,others,2004-11-21,france
150000000,675,en,78.144395,938212738,138,Released,Harry Potter and the Order of the Phoenix,7.4,5494,Advanture,2007-06-28,united_kingdom
150000000,674,en,101.250416,895921036,157,Released,Harry Potter and the Goblet of Fire,7.5,5608,Advanture,2005-11-05,united_kingdom
150000000,8960,en,56.758411,624029371,92,Released,Hancock,6.2,2961,Science fiction,2008-07-01,united_state
150000000,6479,en,70.867401,585349010,101,Released,I Am Legend,6.9,4853,Comedy,2007-12-14,united_state
150000000,118,en,53.905592,474968763,115,Released,Charlie and the Chocolate Factory,6.7,3624,Advanture,2005-07-13, australia
150000000,2062,en,65.677399,623722818,111,Released,Ratatouille,7.5,4369,Animation,2007-06-22,united_state
150000000,272,en,115.040024,374218673,140,Released,Batman Begins,7.5,7359,Action,2005-06-10,united_kingdom
150000000,10527,en,44.141021,603900354,89,Released,Madagascar: Escape 2 Africa,6.2,1810,others,2008-10-30,united_state
150000000,18360,en,81.781591,413106170,105,Released,Night at the Museum: Battle of the Smithsonian,5.9,1971,Advanture,2009-05-20,united_state
150000000,2080,en,5.954334,373062864,107,Released,X-Men Origins: Wolverine,6.2,4021,Advanture,2009-04-28,united_state
150000000,605,en,73.313918,424988211,129,Released,The Matrix Revolutions,6.4,3096,Advanture,2003-11-05,united_state
150000000,109445,en,165.125366,1274219009,102,Released,Frozen,7.3,5295,Animation,2013-11-27,united_state
150000000,604,en,70.78591,738599701,138,Released,The Matrix Reloaded,6.7,3443,Advanture,2003-05-15, australia
170000000,76338,en,99.499595,644571402,112,Released,Thor: The Dark World,6.8,4755,Action,2013-10-29,united_state
150000000,76341,en,434.278564,378858340,120,Released,Mad Max: Fury Road,7.2,9427,Action,2015-05-13, australia
150000000,13448,en,67.447636,356613439,138,Released,Angels & Demons,6.5,2129,Thriller,2009-05-13,italy
150000000,10195,en,86.493424,449326618,115,Released,Thor,6.6,6525,Advanture,2011-04-21,united_state
150000000,13053,en,41.845878,309979994,98,Released,Bolt,6.3,1750,Animation,2008-11-21,united_state
150000000,19585,en,26.710398,292817841,88,Released,G-Force,5.1,510,Science fiction,2009-07-21,united_state
150000000,57165,en,44.927635,301000000,99,Released,Wrath of the Titans,5.5,1431,Advanture,2012-03-27,spain
150000000,62213,en,50.306728,245527149,113,Released,Dark Shadows,5.7,2320,Comedy,2012-05-08, australia
150000000,177677,en,114.522237,682330139,131,Released,Mission: Impossible - Rogue Nation,7.1,3224,Action,2015-07-23,china
150000000,7978,en,21.214571,0,102,Released,The Wolfman,5.5,549,Comedy,2010-02-11,united_state
150000000,5559,en,29.332905,287594577,91,Released,Bee Movie,5.7,1171,others,2007-10-28,united_state
150000000,49444,en,51.247321,665692281,91,Released,Kung Fu Panda 2,6.7,1880,Animation,2011-05-25,united_state
150000000,10196,en,33.769336,318502923,103,Released,The Last Airbender,4.7,1151,Action,2010-06-30,united_state
150000000,956,en,63.079003,397850012,126,Released,Mission: Impossible III,6.5,2028,Advanture,2006-05-03,china
150000000,117251,en,39.004588,205366737,131,Released,White House Down,6.4,1891,Action,2013-06-27,united_state
150000000,50321,en,12.362599,38992758,88,Released,Mars Needs Moms,5.5,199,Advanture,2011-03-09,united_state
149000000,11619,en,22.550135,64459316,85,Released,Flushed Away,6,874,Advanture,2006-10-22,united_kingdom
150000000,266647,en,48.03528,128388320,111,Released,Pan,5.9,954,Advanture,2015-09-24,united_state
145000000,82703,en,38.73494,272912430,92,Released,Mr. Peabody & Sherman,6.7,843,Animation,2014-02-07,united_state
175000000,652,en,66.803149,497409852,163,Released,Troy,6.9,2759,Advanture,2004-05-13,united_state
145000000,80321,en,44.989192,746921274,93,Released,Madagascar 3: Europe's Most Wanted,6.4,1808,Animation,2012-06-06,united_state
140000000,36669,en,54.159392,431971116,133,Released,Die Another Day,5.8,1092,Advanture,2002-11-17,united_kingdom
144000000,43074,en,66.21806,229147509,116,Released,Ghostbusters,5.3,2142,Action,2016-07-14,united_state
140000000,95,en,58.485967,553799566,151,Released,Armageddon,6.4,2482,Action,1998-07-01,united_state
140000000,608,en,91.332849,441818803,88,Released,Men in Black II,6,3114,Action,2002-07-03,united_state
70000000,2310,en,35.601665,195735876,115,Released,Beowulf,5.5,841,Advanture,2007-11-05,united_state
145000000,140300,en,56.747978,521170825,95,Released,Kung Fu Panda 3,6.7,1603,Action,2016-01-23,china
145000000,56292,en,77.77477,694713380,133,Released,Mission: Impossible - Ghost Protocol,6.8,3972,Action,2011-12-07,czech republic
145000000,81188,en,61.788035,306941670,97,Released,Rise of the Guardians,7.1,1922,Science fiction,2012-11-21,united_state
100000000,7552,en,25.159168,202026112,90,Released,Fun with Dick and Jane,5.9,627,Comedy,2005-12-21,united_state
140000000,616,en,52.341226,456758981,154,Released,The Last Samurai,7.3,1895,Comedy,2003-12-05,japan
140000000,147441,en,101.599427,268031828,150,Released,Exodus: Gods and Kings,5.6,1921,Advanture,2014-12-03,spain
150000000,13475,en,73.616808,385680446,127,Released,Star Trek,7.4,4518,Science fiction,2009-05-06,germany
139000000,557,en,82.502566,821708551,121,Released,Spider-Man,6.8,5265,Science fiction,2002-05-01,united_state
145000000,82702,en,100.21391,609123048,102,Released,How to Train Your Dragon 2,7.6,3106,Science fiction,2014-06-12,united_state
140000000,205584,en,56.257249,150680864,127,Released,Gods of Egypt,5.3,1277,Science fiction,2016-02-25, australia
135000000,10048,en,17.88953,76932943,121,Released,Stealth,4.9,331,Action,2005-07-28,united_state
130000000,13183,en,64.798873,185258983,163,Released,Watchmen,7,2811,Action,2009-03-05,united_state
140000000,944,en,24.855701,285444603,127,Released,Lethal Weapon 4,6.3,767,Action,1998-07-10,united_state
137000000,1927,en,34.981698,245360480,138,Released,Hulk,5.3,1533,Comedy,2003-06-19,united_state
130000000,72559,en,59.325589,371876278,110,Released,G.I. Joe: Retaliation,5.4,3025,Advanture,2013-03-26,united_state
130000000,7364,en,21.605568,119269486,124,Released,Sahara,5.7,434,Action,2005-04-06,germany
137000000,2114,en,26.074908,85131830,106,Released,Final Fantasy: The Spirits Within,5.9,433,Advanture,2001-07-02,japan
140000000,1771,en,74.506246,370569774,124,Released,Captain America: The First Avenger,6.6,7047,Action,2011-07-22,united_state
135000000,36643,en,39.604363,361832400,128,Released,The World Is Not Enough,6,862,Advanture,1999-11-08,united_kingdom
150000000,8619,en,36.973031,212011111,138,Released,Master and Commander: The Far Side of the World,6.9,790,Advanture,2003-11-14,united_state
120000000,50620,en,99.687084,829000000,115,Released,The Twilight Saga: Breaking Dawn - Part 2,6.1,2553,Advanture,2012-11-13,united_state
130000000,65759,en,17.7735,150406466,100,Released,Happy Feet Two,5.8,373,Animation,2011-11-17, australia
150000000,1724,en,62.898336,163712074,114,Released,The Incredible Hulk,6.1,3021,Science fiction,2008-06-12,united_state
140000000,267935,en,44.19092,183345589,120,Released,The BFG,6,1000,Advanture,2016-06-01,india
135000000,281957,en,100.635882,532950503,156,Released,The Revenant,7.3,6396,Comedy,2015-12-25,canada
135000000,77950,en,44.765377,282570682,96,Released,Turbo,6.1,1074,Animation,2013-07-11,united_state
135000000,44896,en,29.91353,245724603,107,Released,Rango,6.6,2051,Animation,2011-03-02,united_state
132000000,270946,en,84.366984,373552094,92,Released,Penguins of Madagascar,6.5,1346,others,2014-11-22,united_state
70000000,2503,en,45.381501,442824138,115,Released,The Bourne Ultimatum,7.3,2888,Action,2007-08-03,germany
130000000,9502,en,84.689648,631744560,90,Released,Kung Fu Panda,6.9,3145,Advanture,2008-06-04,united_state
130000000,102899,en,120.09361,519311965,117,Released,Ant-Man,7,5880,Science fiction,2015-07-14,united_state
130000000,101299,en,76.310119,847423452,146,Released,The Hunger Games: Catching Fire,7.4,6495,Advanture,2013-11-15,united_state
135000000,228161,en,63.473086,368871007,94,Released,Home,6.8,1519,Science fiction,2015-03-18,united_state
132000000,74,en,48.572726,591739379,116,Released,War of the Worlds,6.2,2322,Advanture,2005-06-28,united_state
130000000,8961,en,38.068736,273339556,147,Released,Bad Boys II,6.3,1564,Advanture,2003-07-18,united_state
130000000,417859,en,20.678787,554987477,90,Released,Puss in Boots,6.4,451,Action,2011-10-28,united_state
110000000,27576,en,48.829437,293329073,100,Released,Salt,6.2,2093,Action,2010-07-21,united_state
125000000,86834,en,46.115758,362637473,139,Released,Noah,5.6,2350,Comedy,2014-03-20,united_state
130000000,17578,en,89.938296,371940071,107,Released,The Adventures of Tintin,6.7,2061,Advanture,2011-10-25,new_zealand
130000000,673,en,79.679601,789804554,141,Released,Harry Potter and the Prisoner of Azkaban,7.7,5877,Advanture,2004-05-31,united_kingdom
130000000,6972,en,28.840997,49554002,165,Released,Australia,6.3,694,Comedy,2008-11-18, australia
130000000,82700,en,42.840582,243843127,100,Released,After Earth,5,2532,Science fiction,2013-05-30,united_state
127500000,10567,en,26.548594,354248063,82,Released,Dinosaur,6.2,542,Animation,2000-05-19,united_state
127000000,181533,en,115.597753,349424282,97,Released,Night at the Museum: Secret of the Tomb,6.1,1851,Advanture,2014-12-17,united_kingdom
130000000,38055,en,68.757242,321887208,95,Released,Megamind,6.7,1918,Animation,2010-10-28,united_state
125000000,671,en,109.984351,976475550,152,Released,Harry Potter and the Philosopher's Stone,7.5,7006,Advanture,2001-11-16,united_kingdom
130000000,49524,en,39.448066,61648500,96,Released,R.I.P.D.,5.4,1260,Science fiction,2013-07-18,united_state
140000000,22,en,271.972889,655011224,143,Released,Pirates of the Caribbean: The Curse of the Black Pearl,7.5,6985,Advanture,2003-07-09,united_state
125000000,131631,en,206.227151,752100229,123,Released,The Hunger Games: Mockingjay - Part 1,6.6,5584,Science fiction,2014-11-18,united_state
125000000,591,en,45.313197,767820459,149,Released,The Da Vinci Code,6.5,2704,Thriller,2006-05-17,united_state
103000000,172385,en,42.40024,500188435,102,Released,Rio 2,6.3,978,Animation,2014-03-19,united_state
110000000,36658,en,2.871739,407711549,133,Released,X2,6.8,3506,Advanture,2003-04-24,united_state
125000000,51497,en,7.255718,626137675,130,Released,Fast Five,7.1,2438,Action,2011-04-20,united_state
125000000,58574,en,81.499621,334615000,129,Released,Sherlock Holmes: A Game of Shadows,7,3886,Advanture,2011-11-22,united_state
125000000,18823,en,47.686442,232713139,106,Released,Clash of the Titans,5.6,2233,Advanture,2010-04-01,united_state
65000000,861,en,43.129703,261317921,113,Released,Total Recall,7.1,1710,Action,1990-06-01,united_state
160000000,1911,en,27.220157,61698899,102,Released,The 13th Warrior,6.4,510,Advanture,1999-08-27,united_state
130000000,49040,en,90.33681,276572938,120,Released,The Bourne Legacy,6,2651,Action,2012-08-08,united_state
125000000,415,en,50.073575,238207122,125,Released,Batman & Robin,4.2,1418,Action,1997-06-20,united_kingdom
123000000,8871,en,45.419668,345141403,104,Released,How the Grinch Stole Christmas,6.2,1386,others,2000-11-17,germany
125000000,435,en,41.380094,544272402,124,Released,The Day After Tomorrow,6.2,2392,Action,2004-05-26,united_state
125000000,955,en,54.931334,546388105,123,Released,Mission: Impossible II,5.9,1928,Advanture,2000-05-24,germany
120000000,2133,en,25.752118,325756637,130,Released,The Perfect Storm,6.2,597,Comedy,2000-03-15,united_state
130000000,1979,en,60.810723,289047763,92,Released,Fantastic 4: Rise of the Silver Surfer,5.4,2589,Advanture,2007-06-13,germany
120000000,87827,en,51.328145,609016565,127,Released,Life of Pi,7.2,5797,Advanture,2012-11-20,united_state
110000000,1250,en,46.834704,228738393,114,Released,Ghost Rider,5.2,1712,Thriller,2007-02-16,united_state
120000000,324668,en,62.641286,415484914,123,Released,Jason Bourne,5.9,2341,Action,2016-07-27,united_kingdom
120000000,9471,en,33.616115,259175788,106,Released,Charlie's Angels: Full Throttle,5.2,914,Action,2003-06-27,united_state
130000000,70981,en,68.889395,403170142,124,Released,Prometheus,6.3,5080,Science fiction,2012-05-30,united_kingdom
120000000,10996,en,27.990284,169956806,78,Released,Stuart Little 2,5.4,613,others,2002-07-19,united_state
115000000,68724,en,67.33767,286140700,109,Released,Elysium,6.4,3439,Science fiction,2013-08-07,united_state
105000000,2789,en,27.835436,115772733,119,Released,The Chronicles of Riddick,6.3,1570,Action,2004-06-11,united_state
120000000,97020,en,66.757869,242688965,102,Released,RoboCop,5.7,2342,Action,2014-01-30,canada
120000000,7459,en,17.060695,93945766,135,Released,Speed Racer,5.7,354,Action,2008-05-09, australia
120000000,42888,en,11.137655,48668907,121,Released,How Do You Know,4.9,223,Comedy,2010-12-17,united_state
117000000,37834,en,44.906918,261930431,109,Released,Knight and Day,5.9,1547,Action,2010-06-15,united_state
120000000,75612,en,67.698004,286168572,124,Released,Oblivion,6.4,4800,Action,2013-04-10,united_state
113000000,1895,en,44.108427,850000000,140,Released,Star Wars: Episode III - Revenge of the Sith,7.1,4116,Science fiction,2005-05-17,united_state
120000000,1894,en,43.987061,649398328,142,Released,Star Wars: Episode II - Attack of the Clones,6.4,3992,Advanture,2002-05-15,united_state
115000000,585,en,106.815545,562816256,92,Released,"Monsters, Inc.",7.5,5996,Animation,2001-11-01,united_state
120000000,76170,en,15.953444,415440673,126,Released,The Wolverine,6.3,4053,Action,2013-07-23,united_kingdom
115000000,1893,en,54.035265,924317558,136,Released,Star Wars: Episode I - The Phantom Menace,6.3,4432,Advanture,1999-05-19,united_state
135000000,49519,en,64.183321,585178928,98,Released,The Croods,6.8,2399,Advanture,2013-03-20,united_state
97250400,2395,fr,20.344364,132900000,116,Released,Asterix at the Olympic Games,5,471,Science fiction,2008-01-13, belgium
115000000,12100,en,18.714197,77628265,134,Released,Windtalkers,5.8,341,Comedy,2002-06-14,united_state
115000000,290595,en,60.467984,164602163,114,Released,The Huntsman: Winter's War,6,1523,Action,2016-04-06,united_state
125000000,98566,en,143.350376,477200000,101,Released,Teenage Mutant Ninja Turtles,5.8,2636,Science fiction,2014-08-07,united_state
105000000,49047,en,110.153618,716392705,91,Released,Gravity,7.3,5751,Science fiction,2013-09-27,united_kingdom
116000000,9619,en,16.90444,178127760,108,Released,Dante's Peak,5.7,428,Action,1997-02-07,united_state
135000000,308531,en,39.873791,245623848,112,Released,Teenage Mutant Ninja Turtles: Out of the Shadows,5.8,963,Science fiction,2016-06-01,china
120000000,166424,en,38.126095,167977596,100,Released,Fantastic Four,4.4,2278,Action,2015-08-05,united_state
110000000,1593,en,48.780039,574480841,108,Released,Night at the Museum,6.3,2862,Action,2006-10-20,united_state
110000000,254128,en,100.412364,470490832,114,Released,San Andreas,6,2968,Action,2015-05-27,canada
110000000,714,en,42.887121,333011068,119,Released,Tomorrow Never Dies,6,925,Advanture,1997-12-11,united_kingdom
110000000,2024,en,23.657284,215294342,165,Released,The Patriot,6.8,1099,Comedy,2000-06-28,germany
110000000,163,en,76.840712,362744280,125,Released,Ocean's Twelve,6.4,2124,Thriller,2004-12-09,united_state
110000000,787,en,44.635452,478207520,120,Released,Mr. & Mrs. Smith,6.5,2965,Action,2005-06-07,united_state
110000000,262500,en,103.718387,295238201,119,Released,Insurgent,6.2,3829,Advanture,2015-03-18,united_state
116000000,2567,en,45.616098,102000000,170,Released,The Aviator,7,1489,Comedy,2004-12-17,united_state
112000000,38745,en,22.845143,237382724,85,Released,Gulliver's Travels,4.9,621,Comedy,2010-12-25,united_state
